id,col,sp,ud
1545_13,forms,ב פניו,ב פנים_ _של_ _הוא
1546_20,forms,ל כבודם,ל כבוד_ _של_ _הם
1547_8,forms,ל בקשתן,ל בקשה_ _של_ _הן
1549_5,forms,ל אני,ל_ _אני
1550_10,forms,מצלמותיהם,מצלמה_ _של_ _הם
1550_12,forms,קרסוליהן,קרסול_ _של_ _הן
1551_5,forms,ב לשכתו,ב לשכה_ _של_ _הוא
1552_1,forms,מ עברו,מ עבר_ _של_ _הוא
1552_8,forms,ב כבודו,ב כבוד_ _של_ _הוא
1553_2,forms,מלכותו,מלכות_ _של_ _הוא
1553_6,forms,נפשו,נפש_ _של_ _הוא
1555_3,forms,מ דעתכם,מ דעה_ _של_ _אתם
1556_16,forms,נפשותיהם,נפש_ _של_ _הם
1558_3,forms,ב דרכה,ב דרך_ _של_ _היא
1558_8,forms,ב ה מושבה,ב ה_ מושבה
1559_20,forms,חייהם,חיים_ _של_ _הם
1560_3,forms,ל ה מעצמה,ל ה_ מעצמה
1560_5,forms,ב ה עולם,ב ה_ עולם
1560_34,forms,מוחן,מוח_ _של_ _הן
1562_1,forms,התנהגותם,התנהגות_ _של_ _הם
1562_6,forms,ביני הם,בין_ _הם
1562_7,forms,כ ה אלה,כ ה_ אלה
1562_10,forms,ל ה חיזור,ל ה_ חיזור
1562_22,forms,ראשם,ראש_ _של_ _הם
1562_24,forms,ל פתחם,ל פתח_ _של_ _הם
1563_7,forms,ב ה דרך,ב ה_ דרך
1563_13,forms,ב ה אזור,ב ה_ אזור
1565_8,forms,עלי היא,על_ _היא
1566_13,forms,ב ה עמדה,ב ה_ עמדה
1568_34,forms,הצהרותיה,הצהרה_ _של_ _היא
1569_15,forms,ו ל ה ציבור,ו ל ה_ ציבור
1569_16,forms,ב ה ארץ,ב ה_ ארץ
1569_28,forms,בעבור הם,בעבור_ _הם
1570_12,forms,ש לפי היא,ש לפי_ _היא
1571_1,forms,ל דעתו,ל דעה_ _של_ _הוא
1573_1,forms,התנהגותה,התנהגות_ _של_ _היא
1573_26,forms,עלי היא,על_ _היא
1573_37,forms,ב גבולותיה,ב גבול_ _של_ _היא
1573_51,forms,של הוא,של_ _הוא
1574_12,forms,ב ה ליכוד,ב ה_ ליכוד
1574_13,forms,ו מ חוצה,ו מ חוץ_ _של_ _היא
1574_14,forms,ל הוא,ל_ _הוא
1574_20,forms,את היא,את_ _היא
1575_9,forms,שמו,שם_ _של_ _הוא
1575_11,forms,ל אני,ל_ _אני
1575_15,forms,ב ה ממשל,ב ה_ ממשל
1578_7,forms,כ ה זו,כ ה_ זו
1579_14,forms,ל ה ערבים,ל ה_ ערבים
1579_20,forms,רובם,רובם _הם
1579_33,forms,לחצה,לחץ_ _של_ _היא
1579_42,forms,ב ה אזור,ב ה_ אזור
1582_1,forms,ב ה חגיגה,ב ה_ חגיגה
1582_27,forms,ל הוא,ל_ _הוא
1587_5,forms,89,001
1587_6,forms,100,98
1587_18,forms,83,011
1587_19,forms,110,38
1588_4,forms,ב ביתם,ב בית_ _של_ _הם
1590_7,forms,ב ה סיבוב,ב ה_ סיבוב
1591_20,forms,ב ה משחק,ב ה_ משחק
1592_6,forms,ב ה משחק,ב ה_ משחק
1593_11,forms,משחקיה,משחק_ _של_ _היא
1596_1,forms,ב ה משחק,ב ה_ משחק
1598_9,forms,ל ה תחתית,ל ה_ תחתית
1598_13,forms,ל יריבתה,ל יריבה_ _של_ _היא
1598_23,forms,מנהלה,מנהל_ _של_ _היא
1599_3,forms,מ תפקידו,מ תפקיד_ _של_ _הוא
1599_18,forms,סגנו,סגן_ _של_ _הוא
1601_10,forms,משחקיה,משחק_ _של_ _היא
1602_3,forms,של היא,של_ _היא
1602_5,forms,את היא,את_ _היא
1602_12,forms,ב ה גביע,ב ה_ גביע
1603_15,forms,היעדרו,היעדר_ _של_ _הוא
1604_3,forms,ל היא,ל_ _היא
1605_1,forms,יריבתה,יריבה_ _של_ _היא
1605_6,forms,ב ה דרבי,ב ה_ דרבי
1606_10,forms,ב ה מקום,ב ה_ מקום
1607_19,forms,של היא,של_ _היא
1609_8,forms,ל ה מוליכה,ל ה_ מוליכה
1609_23,forms,ב ביתה,ב בית_ _של_ _היא
1609_33,forms,ב ה בית,ב ה_ בית
1612_2,forms,מ הם,מן_ _הם
1613_1,forms,אלי הם,אל_ _הם
1613_12,forms,ב ה עולם,ב ה_ עולם
1615_11,forms,ל ה חצי,ל ה_ חצי
1620_3,forms,ב ה תחזית,ב ה_ תחזית
1622_8,forms,עם הוא,עם_ _הוא
1624_12,forms,ב ה משחק,ב ה_ משחק
1625_7,forms,ב ה מגרש,ב ה_ מגרש
1625_10,forms,ל היא,ל_ _היא
1626_6,forms,הפסדה,הפסד_ _של_ _היא
1627_5,forms,ב ה טבלה,ב ה_ טבלה
1627_15,forms,ב ה שעה,ב ה_ שעה
1628_6,forms,ו ל דעתי,ו ל דעה_ _של_ _אני
1628_8,forms,ל הוא,ל_ _הוא
1629_3,forms,ב ה דרבי,ב ה_ דרבי
1631_7,forms,ל היא,ל_ _היא
1633_7,forms,ב ה חוץ,ב ה_ חוץ
1634_4,forms,ב ה בית,ב ה_ בית
1636_8,forms,ב ה ליגה,ב ה_ ליגה
1637_3,forms,של היא,של_ _היא
1637_5,forms,הגנתה,הגנה_ _של_ _היא
1640_15,forms,ל ה משחק,ל ה_ משחק
1641_1,forms,ב ה שבת,ב ה_ שבת
1641_8,forms,ל ה מוות,ל ה_ מוות
1641_19,forms,ב ה עיר,ב ה_ עיר
1642_4,forms,ל ה כן,ל ה_ כן
1643_14,forms,ל זכרו,ל זכר_ _של_ _הוא
1643_19,forms,ב ה משחק,ב ה_ משחק
1644_18,forms,איומם,איום_ _של_ _הם
1645_24,forms,ב ה משחק,ב ה_ משחק
1646_12,forms,עלי הם,על_ _הם
1648_7,forms,ב שיאם,ב שיא_ _של_ _הם
1648_10,forms,ל מזלם,ל מזל_ _של_ _הם
1648_12,forms,מול הם,מול_ _הם
1648_22,forms,ל הם,ל_ _הם
1648_24,forms,ב ה ניצחון,ב ה_ ניצחון
1648_27,forms,ב ה מאמץ,ב ה_ מאמץ
1649_6,forms,ל ה סיום,ל ה_ סיום
1649_28,forms,ב ה בית,ב ה_ בית
1650_13,forms,ל ה משחק,ל ה_ משחק
1652_4,forms,ב ה כדורים,ב ה_ כדורים
1655_9,forms,מ כושרם,מ כושר_ _של_ _הם
1656_11,forms,ב שורותיהם,ב שורה_ _של_ _הם
1658_12,forms,דרכם,דרך_ _של_ _הם
1658_17,forms,פניהם,פנים_ _של_ _הם
1659_4,forms,ל הם,ל_ _הם
1659_8,forms,מ צדם,מ צד_ _של_ _הם
1660_9,forms,ל ה מקום,ל ה_ מקום
1660_18,forms,הכרתו,הכרה_ _של_ _הוא
1662_5,forms,ב סנטרו,ב סנטר_ _של_ _הוא
1663_3,forms,ל ה חקירה,ל ה_ חקירה
1665_6,forms,ב ה בחירות,ב ה_ בחירות
1666_6,forms,ל ה ארגונים,ל ה_ ארגונים
1666_12,forms,מ של הם,מ שלהם _הם
1666_20,forms,ל הם,ל_ _הם
1667_12,forms,ל הם,ל_ _הם
1667_16,forms,ב ה חברה,ב ה_ חברה
1670_10,forms,את הם,את_ _הם
1670_12,forms,ל הם,ל_ _הם
1673_11,forms,ל אני,ל_ _אני
1673_12,forms,מ יוצרי,מ יוצר_ _של_ _אני
1673_14,forms,ל אני,ל_ _אני
1673_15,forms,מ יצרי,מ יצר_ _של_ _אני
1676_11,forms,ו ב ה מאבק,ו ב ה_ מאבק
1676_17,forms,ל הוא,ל_ _הוא
1676_23,forms,ש ב ה פועל,ש ב ה_ פועל
1677_6,forms,ב הוא,ב_ _הוא
1680_2,forms,ליבו,לב_ _של_ _הוא
1680_7,forms,עלי הוא,על_ _הוא
1681_6,forms,מצבו,מצב_ _של_ _הוא
1681_35,forms,ל ה מלך,ל ה_ מלך
1682_7,forms,ל ה תהליכים,ל ה_ תהליכים
1682_10,forms,ב ארצו,ב ארץ_ _של_ _הוא
1683_4,forms,ב ה פתיחה,ב ה_ פתיחה
1684_1,forms,ב ה מחצית,ב ה_ מחצית
1684_11,forms,ב ה סיום,ב ה_ סיום
1687_3,forms,כ ה זו,כ ה_ זו
1688_7,forms,ב ה דקה,ב ה_ דקה
1688_15,forms,ב ה בלגאן,ב ה_ בלגאן
1689_5,forms,ל ה ספסל,ל ה_ ספסל
1689_7,forms,ל ה סיום,ל ה_ סיום
1693_8,forms,ב ה סיום,ב ה_ סיום
1695_10,forms,ב ה דקה,ב ה_ דקה
1695_23,forms,ב ה דקה,ב ה_ דקה
1697_1,forms,ב ה דקה,ב ה_ דקה
1697_26,forms,מ של הוא,מ שלו _הוא
1699_13,forms,ב היא,ב_ _היא
1700_8,forms,ב ה זה,ב ה_ זה
1700_9,forms,ל ה ספרדים,ל ה_ ספרדים
1700_13,forms,ב ביתם,ב בית_ _של_ _הם
1701_5,forms,ב ה לילה,ב ה_ לילה
1701_8,forms,ב מגרשה,ב מגרש_ _של_ _היא
1701_15,forms,ל ה שלב,ל ה_ שלב
1701_23,forms,ב ה משחק,ב ה_ משחק
1704_8,forms,ב ה משחק,ב ה_ משחק
1705_6,forms,ב ה כדורים,ב ה_ כדורים
1706_1,forms,שחקניו,שחקן_ _של_ _הוא
1706_10,forms,ל ה סל,ל ה_ סל
1707_15,forms,קבוצתו,קבוצה_ _של_ _הוא
1709_8,forms,עלי הם,על_ _הם
1709_14,forms,מ הם,מן_ _הם
1711_3,forms,ל שיאה,ל שיא_ _של_ _היא
1712_4,forms,ו ב ה דקה,ו ב ה_ דקה
1712_17,forms,ל ה סיום,ל ה_ סיום
1712_26,forms,ל ה סיום,ל ה_ סיום
1713_7,forms,ל ה סיום,ל ה_ סיום
1714_1,forms,ב ה הארכה,ב ה_ הארכה
1714_3,forms,ב ה מגרש,ב ה_ מגרש
1715_3,forms,של היא,של_ _היא
1717_23,forms,ב סיכומו,ב סיכום_ _של_ _הוא
1719_5,forms,ב ה מסחר,ב ה_ מסחר
1720_13,forms,ל ה מגמה,ל ה_ מגמה
1720_15,forms,ב ה שוק,ב ה_ שוק
1725_8,forms,ב חלקה,ב חלק_ _של_ _היא
1725_12,forms,לפי הן,לפי_ _הן
1725_16,forms,כוחותיה,כוח_ _של_ _היא
1726_20,forms,ל ה חוזים,ל ה_ חוזים
1726_21,forms,ל ה חודשים,ל ה_ חודשים
1727_4,forms,ב ה מסחר,ב ה_ מסחר
1729_21,forms,ש ב ה שוק,ש ב ה_ שוק
1730_7,forms,ב ה יומיים,ב ה_ יומיים
1732_12,forms,ב ה מלאי,ב ה_ מלאי
1732_43,forms,ב ה סיכום,ב ה_ סיכום
1735_1,forms,חניכיו,חניך_ _של_ _הוא
1735_6,forms,ב ה משחק,ב ה_ משחק
1736_14,forms,ב ה דרך,ב ה_ דרך
1736_24,forms,מ של היא,מ שלה _היא
1739_6,forms,אולמו,אולם_ _של_ _הוא
1740_9,forms,החלפתו,החלפה_ _של_ _הוא
1741_7,forms,ל ה סיום,ל ה_ סיום
1741_16,forms,ב ה בית,ב ה_ בית
1741_22,forms,ב ה מקום,ב ה_ מקום
1744_14,forms,מעמדו,מעמד_ _של_ _הוא
1746_16,forms,של הוא,של_ _הוא
1748_12,forms,עלי היא,על_ _היא
1750_5,forms,ל עולמו,ל עולם_ _של_ _הוא
1750_9,forms,מולדתו,מולדת_ _של_ _הוא
1750_15,forms,את הוא,את_ _הוא
1750_19,forms,זמננו,זמן_ _של_ _אנחנו
1750_37,forms,של הוא,של_ _הוא
1751_7,forms,ב ספרו,ב ספר_ _של_ _הוא
1751_11,forms,ב ה מראה,ב ה_ מראה
1751_23,forms,נפשו,נפש_ _של_ _הוא
1751_29,forms,ב נפשו,ב נפש_ _של_ _הוא
1752_31,forms,ב הם,ב_ _הם
1753_10,forms,ב הוא,ב_ _הוא
1753_13,forms,ש הפכו את הוא,ש הפכוהו את _הוא
1755_13,forms,ב ה ספר,ב ה_ ספר
1756_5,forms,מ דעתו,מ דעה_ _של_ _הוא
1756_11,forms,ב מקצועו,ב מקצוע_ _של_ _הוא
1756_20,forms,ל גיבורו,ל גיבור_ _של_ _הוא
1756_21,forms,ב שמו,ב שם_ _של_ _הוא
1756_50,forms,ב היא,ב_ _היא
1756_55,forms,פירושה,פירוש_ _של_ _היא
1756_71,forms,ב ה חושך,ב ה_ חושך
1758_12,forms,ש ב הוא,ש ב_ _הוא
1758_25,forms,ש ביני הם,ש בין_ _הם
1758_44,forms,התגלותו,התגלות_ _של_ _הוא
1758_47,forms,ב הוא,ב_ _הוא
1759_10,forms,ב הוא,ב_ _הוא
1759_16,forms,גיבוריו,גיבור_ _של_ _הוא
1759_29,forms,ב ספרו,ב ספר_ _של_ _הוא
1760_10,forms,של היא,של_ _היא
1760_17,forms,את היא,את_ _היא
1760_19,forms,עלי היא,על_ _היא
1760_20,forms,להציג את היא,להציגה את _היא
1760_25,forms,ב ה חדר,ב ה_ חדר
1761_4,forms,בואו,בוא_ _של_ _הוא
1761_13,forms,ל היא,ל_ _היא
1761_40,forms,ש את היא,ש אותו_ _היא
1763_28,forms,ל הוא,ל_ _הוא
1763_31,forms,דייקנותו,דייקנות_ _של_ _הוא
1765_17,forms,הגדרתה,הגדרה_ _של_ _היא
1765_23,forms,ב אפסותו,ב אפסות_ _של_ _הוא
1765_25,forms,גדולתו,גדולה_ _של_ _הוא
1766_3,forms,ש ב הוא,ש ב_ _הוא
1766_25,forms,ב ה חדר,ב ה_ חדר
1767_4,forms,ל אנחנו,ל_ _אנחנו
1767_8,forms,ב ה עת,ב ה_ עת
1768_13,forms,ל היא,ל_ _היא
1768_26,forms,ב היא,ב_ _היא
1769_6,forms,כ כ ה אלה,כ כ ה_ אלה
1769_10,forms,ב הם,ב_ _הם
1769_15,forms,השתקפויותיו,השתקפות_ _של_ _הוא
1769_21,forms,של הוא,של_ _הוא
1770_9,forms,ל ה אמפירי,ל ה_ אמפירי
1770_22,forms,ב מגבלותיו,ב מגבלה_ _של_ _הוא
1771_11,forms,ל שמה,ל שם_ _של_ _היא
1771_61,forms,ל הוא,לו _הוא
1771_66,forms,ב הוא,ב_ _הוא
1773_12,forms,של הוא,של_ _הוא
1774_4,forms,ל מסעו,ל מסע_ _של_ _הוא
1774_7,forms,ל הוא,ל_ _הוא
1775_1,forms,רוחה,רוח_ _של_ _היא
1775_9,forms,את הוא,את_ _הוא
1775_17,forms,ב ביתה,ב בית_ _של_ _היא
1775_20,forms,ב דמיונה,ב דמיון_ _של_ _היא
1775_24,forms,ב מסעו,ב מסע_ _של_ _הוא
1775_26,forms,אהובה,אהוב_ _של_ _היא
1775_28,forms,ו מסעה,ו מסע_ _של_ _היא
1776_19,forms,ה מביא את הוא,ה מביאו את _הוא
1776_23,forms,ו מחזיר את הוא,ו מחזירו את _הוא
1776_26,forms,אשתו,איש_ _של_ _הוא
1777_2,forms,גיבורו,גיבור_ _של_ _הוא
1777_7,forms,ל גיבורו,ל גיבור_ _של_ _הוא
1778_22,forms,מסעו,מסע_ _של_ _הוא
1781_13,forms,אמונתה,אמונה_ _של_ _היא
1783_3,forms,ב פניו,ב פנים_ _של_ _הוא
1783_32,forms,ש ב הם,ש ב_ _הם
1784_8,forms,תפישתו,תפישה_ _של_ _הוא
1785_7,forms,טיבה,טיב_ _של_ _היא
1786_3,forms,ל ה דרך,ל ה_ דרך
1786_22,forms,שמו,שם_ _של_ _הוא
1786_27,forms,ב הוא,ב_ _הוא
1787_10,forms,ב ה ישימון,ב ה_ ישימון
1787_11,forms,ו ב סופו,ו ב סוף_ _של_ _הוא
1788_2,forms,ב ה מתים,ב ה_ מתים
1788_10,forms,ב מסעו,ב מסע_ _של_ _הוא
1788_19,forms,פצעיו,פצע_ _של_ _הוא
1788_33,forms,ל הוא,ל_ _הוא
1788_40,forms,פצעיו,פצע_ _של_ _הוא
1789_8,forms,ב ידיהם,ב יד_ _של_ _הם
1790_3,forms,מצבו,מצב_ _של_ _הוא
1791_15,forms,ב ה שמים,ב ה_ שמים
1791_20,forms,נוקשותו,נוקשות_ _של_ _הוא
1791_26,forms,ל הוא,ל_ _הוא
1792_1,forms,ב מותו,ב מוות_ _של_ _הוא
1794_17,forms,ב ה חיים,ב ה_ חיים
1794_27,forms,ו ב סופו,ו ב סוף_ _של_ _הוא
1794_33,forms,ל ה קבר,ל ה_ קבר
1795_5,forms,ב ה שאלה,ב ה_ שאלה
1795_55,forms,חייו,חיים_ _של_ _הוא
1795_57,forms,ב סופו,ב סוף_ _של_ _הוא
1795_64,forms,בגין היא,בגין_ _היא
1799_19,forms,עושרו,עושר_ _של_ _הוא
1800_8,forms,מ הם,מן_ _הם
1802_12,forms,את הוא,את_ _הוא
1802_15,forms,ב ה חיים,ב ה_ חיים
1803_6,forms,ב ה סיפור,ב ה_ סיפור
1803_10,forms,מותו,מוות_ _של_ _הוא
1803_18,forms,ב הוא,ב_ _הוא
1803_25,forms,ב ה מקום,ב ה_ מקום
1804_15,forms,ב הוא,ב_ _הוא
1804_24,forms,פצעיהם,פצע_ _של_ _הם
1805_4,forms,ליד הם,ליד_ _הם
1805_13,forms,סביב הם,סביב_ _הם
1805_15,forms,ידיו,יד_ _של_ _הוא
1806_3,forms,ל הוא,ל_ _הוא
1806_7,forms,ב הוא,ב_ _הוא
1806_17,forms,עיניו,עין_ _של_ _הוא
1807_12,forms,של הוא,של_ _הוא
1807_29,forms,קדושתו,קדושה_ _של_ _הוא
1808_3,forms,של הוא,של_ _הוא
1808_8,forms,עלי הוא,על_ _הוא
1808_19,forms,ב ה חיים,ב ה_ חיים
1811_3,forms,ל כתיבתו,ל כתיבה_ _של_ _הוא
1811_6,forms,מתוך הוא,מתוך_ _הוא
1812_5,forms,ש כ ה זאת,ש כ ה_ זאת
1813_1,forms,דבריה,דבר_ _של_ _היא
1814_11,forms,בגין היא,בגין_ _היא
1815_4,forms,ו תרבותה,ו תרבות_ _של_ _היא
1815_10,forms,ל לבו,ל לב_ _של_ _הוא
1815_15,forms,ב ה מהות,ב ה_ מהות
1815_25,forms,ב פניו,ב פנים_ _של_ _הוא
1815_27,forms,אלי היא,אליה _היא
1816_13,forms,דמותו,דמות_ _של_ _הוא
1816_14,forms,כ התגלמותה,כ התגלמות_ _של_ _היא
1816_21,forms,ש כנגד היא,ש כנגד_ _היא
1816_54,forms,ל כוחו,ל כוח_ _של_ _הוא
1816_70,forms,שאפתנותו,שאפתנות_ _של_ _הוא
1817_12,forms,דעתו,דעה_ _של_ _הוא
1817_20,forms,ו ב ה מדבר,ו ב ה_ מדבר
1818_7,forms,הטריד את הוא,הטרידו את _הוא
1818_11,forms,ל קליפותיו,ל קליפה_ _של_ _הוא
1818_38,forms,של הוא,של_ _הוא
1818_55,forms,ל ה מעטה,ל ה_ מעטה
1818_57,forms,של הוא,של_ _הוא
1819_1,forms,ב הכנותיו,ב הכנה_ _של_ _הוא
1821_5,forms,לזהות את הם,לזהותם את _הם
1821_12,forms,ל זעמם,ל זעם_ _של_ _הם
1821_33,forms,ו ב כללם,ו ב כלל_ _של_ _הם
1823_10,forms,ש ב הם,ש ב_ _הם
1823_23,forms,ל ה סכסוך,ל ה_ סכסוך
1825_10,forms,ב אופיה,ב אופה_ _של_ _היא
1825_11,forms,ו ב עזותה,ו ב עזות_ _של_ _היא
1825_23,forms,להצית את הוא,להציתו את _הוא
1827_3,forms,ל הם,ל_ _הם
1828_2,forms,כ ה זו,כ ה_ זו
1828_4,forms,ש תכליתה,ש תכלית_ _של_ _היא
1828_10,forms,תפקידם,תפקיד_ _של_ _הם
1829_2,forms,כ ה זו,כ ה_ זו
1829_5,forms,ל ה מופקדים,ל ה_ מופקדים
1829_10,forms,ב ה מדינה,ב ה_ מדינה
1829_18,forms,ל מניעתה,ל מניעה_ _של_ _היא
1829_27,forms,ב יישומה,ב יישום_ _של_ _היא
1831_1,forms,ב ה שנים,ב ה_ שנים
1832_7,forms,ב ה אמירה,ב ה_ אמירה
1832_21,forms,ב הן,ב_ _הן
1832_23,forms,זעמו,זעם_ _של_ _הוא
1833_10,forms,עלי הוא,על_ _הוא
1833_16,forms,ב ה תשתית,ב ה_ תשתית
1834_8,forms,קיומה,קיום_ _של_ _היא
1834_9,forms,ו פעילותה,ו פעילות_ _של_ _היא
1834_13,forms,ל ה שומר,ל ה_ שומר
1834_16,forms,אופיה,אופה_ _של_ _היא
1835_3,forms,אופיה,אופה_ _של_ _היא
1835_11,forms,ל היא,ל_ _היא
1835_21,forms,ב היא,ב_ _היא
1838_8,forms,ב ה עיתונות,ב ה_ עיתונות
1838_10,forms,תכליתו,תכלית_ _של_ _הוא
1839_10,forms,עולמן,עולם_ _של_ _הן
1840_5,forms,תפקידה,תפקיד_ _של_ _היא
1842_6,forms,דמם,דם_ _של_ _הם
1843_15,forms,כולו,כולו _הוא
1844_19,forms,מינויו,מינוי_ _של_ _הוא
1845_14,forms,ב ה פועל,ב ה_ פועל
1846_7,forms,ל ה תפקיד,ל ה_ תפקיד
1847_3,forms,מינויו,מינוי_ _של_ _הוא
1847_8,forms,ב ה פועל,ב ה_ פועל
1847_14,forms,מינויו,מינוי_ _של_ _הוא
1848_1,forms,ב מקומו,ב מקום_ _של_ _הוא
1848_4,forms,סגנו,סגן_ _של_ _הוא
1848_12,forms,ב ה מכרז,ב ה_ מכרז
1848_14,forms,ש תוצאותיו,ש תוצאה_ _של_ _הוא
1849_4,forms,חמתו,חמת_ _של_ _הוא
1849_22,forms,ו מקורבו,ו מקורב_ _של_ _הוא
1852_32,forms,כ דבריהם,כ דבר_ _של_ _הם
1853_4,forms,מעמדם,מעמד_ _של_ _הם
1853_10,forms,קירבתם,קירבה_ _של_ _הם
1853_20,forms,עלי הם,על_ _הם
1854_11,forms,ב ה מפלגה,ב ה_ מפלגה
1855_7,forms,מקורבו,מקורב_ _של_ _הוא
1859_4,forms,של הוא,של_ _הוא
1859_10,forms,מקורבו,מקורב_ _של_ _הוא
1859_15,forms,תפקידיו,תפקיד_ _של_ _הוא
1862_13,forms,ל הוא,ל_ _הוא
1862_18,forms,ש ב מסגרתו,ש ב מסגרת_ _של_ _הוא
1863_1,forms,ב ה עבר,ב ה_ עבר
1863_10,forms,ב משרדו,ב משרד_ _של_ _הוא
1863_12,forms,ב ה פועל,ב ה_ פועל
1864_15,forms,ל הוא,ל_ _הוא
1864_27,forms,ל הוא,ל_ _הוא
1866_21,forms,ב משרדו,ב משרד_ _של_ _הוא
1866_30,forms,כ ה זו,כ ה_ זו
1867_6,forms,ל הוא,ל_ _הוא
1867_11,forms,נציגה,נציג_ _של_ _היא
1867_15,forms,"ח""ך","ח""כ"
1867_26,forms,קולו,קול_ _של_ _הוא
1867_31,forms,ב ה וועדה,ב ה_ וועדה
1868_7,forms,ב ה ליכוד,ב ה_ ליכוד
1868_14,forms,עמיתו,עמית_ _של_ _הוא
1869_12,forms,"ה ח""ך","ה ח""כ"
1870_1,forms,"ח""ך","ח""כ"
1870_20,forms,ל ה סיעה,ל ה_ סיעה
1870_24,forms,פרישתו,פרישה_ _של_ _הוא
1870_26,forms,"ה ח""ך","ה ח""כ"
1870_37,forms,ב ה עניין,ב ה_ עניין
1871_17,forms,ב ה הצבעה,ב ה_ הצבעה
1871_22,forms,חסינותו,חסינות_ _של_ _הוא
1871_24,forms,"ח""ך","ח""כ"
1872_1,forms,"ח""ך","ח""כ"
1872_11,forms,התנהגותו,התנהגות_ _של_ _הוא
1872_14,forms,ש ב היא,ש ב_ _היא
1872_18,forms,ב ה כנסת,ב ה_ כנסת
1873_13,forms,לגבי הוא,לגבי_ _הוא
1874_6,forms,"ח""ך","ח""כ"
1874_10,forms,ב אוזניו,ב אוזן_ _של_ _הוא
1874_15,forms,מינויו,מינוי_ _של_ _הוא
1875_18,forms,מעמדם,מעמד_ _של_ _הם
1876_8,forms,עם הוא,עם_ _הוא
1876_27,forms,חבריו,חבר_ _של_ _הוא
1876_30,forms,ב ה רגע,ב ה_ רגע
1878_6,forms,"ח""ך","ח""כ"
1878_19,forms,ב ה וועדות,ב ה_ וועדות
1879_12,forms,ש ב היא,ש ב_ _היא
1880_18,forms,ו יעביר את המ,ו יעבירם את _הם
1880_22,forms,ו ל ה בניין,ו ל ה_ בניין
1882_1,forms,ב ה משרד,ב ה_ משרד
1882_11,forms,ל הם,ל_ _הם
1883_2,forms,ב ה ישיבה,ב ה_ ישיבה
1883_34,forms,ב ה אוצר,ב ה_ אוצר
1883_41,forms,ל הם,ל_ _הם
1883_46,forms,משרדיהם,משרד_ _של_ _הם
1884_1,forms,ב ה ישיבה,ב ה_ ישיבה
1885_6,forms,ו ב ה משרד,ו ב ה_ משרד
1885_13,forms,את היא,את_ _היא
1886_4,forms,ב ה אוצר,ב ה_ אוצר
1886_13,forms,ב ה אוצר,ב ה_ אוצר
1886_15,forms,ב ה עמדה,ב ה_ עמדה
1887_1,forms,ב ה משרד,ב ה_ משרד
1887_11,forms,ל ה בניין,ל ה_ בניין
1888_6,forms,ב ה יחסים,ב ה_ יחסים
1888_16,forms,ו עוזריו,ו עוזר_ _של_ _הוא
1889_11,forms,ב ה דרגים,ב ה_ דרגים
1892_4,forms,עוצמתו,עוצמה_ _של_ _הוא
1893_7,forms,חבריו,חבר_ _של_ _הוא
1894_1,forms,ב ה חוזר,ב ה_ חוזר
1894_21,forms,ב ה עובדים,ב ה_ עובדים
1894_29,forms,ב ה שנייה,ב ה_ שנייה
1896_8,forms,ב ה בנק,ב ה_ בנק
1896_18,forms,ב ה דיעה,ב ה_ דיעה
1896_23,forms,ל ה בנק,ל ה_ בנק
1897_1,forms,ל דבריו,ל דבר_ _של_ _הוא
1897_13,forms,ב ה אף,ב ה_ אף
1897_37,forms,ש בגין היא,ש בגין_ _היא
1897_40,forms,ל ה משטרה,ל ה_ משטרה
1898_9,forms,פריחתם,פריחה_ _של_ _הם
1898_28,forms,ב ה ארץ,ב ה_ ארץ
1899_12,forms,ב ה וועדה,ב ה_ וועדה
1900_20,forms,כ משכנה,כ משכן_ _של_ _היא
1900_37,forms,עלי הוא,על_ _הוא
1900_45,forms,לפי הוא,לפי_ _הוא
1900_50,forms,ש עלי הוא,ש על_ _הוא
1901_8,forms,ב ה מקום,ב ה_ מקום
1902_23,forms,ב ה סכסוך,ב ה_ סכסוך
1903_11,forms,ל היא,ל_ _היא
1903_15,forms,ל היא,ל_ _היא
1903_19,forms,ל ה מהנדסים,ל ה_ מהנדסים
1904_4,forms,ב ה בוררות,ב ה_ בוררות
1904_25,forms,של הם,של_ _הם
1905_7,forms,ל הבטחתו,ל הבטחה_ _של_ _הוא
1905_10,forms,ל ה התחייבות,ל ה_ התחייבות
1905_13,forms,ל דבריהם,ל דבר_ _של_ _הם
1906_1,forms,ב עדותו,ב עדות_ _של_ _הוא
1906_2,forms,ב ה בוררות,ב ה_ בוררות
1906_19,forms,את הוא,את_ _הוא
1907_1,forms,ל דבריו,ל דבר_ _של_ _הוא
1907_21,forms,ב ה מקום,ב ה_ מקום
1908_10,forms,ל הוא,ל_ _הוא
1908_20,forms,ו מ צידו,ו מ ציד_ _של_ _הוא
1908_30,forms,ב ה סביבה,ב ה_ סביבה
1909_8,forms,מ חובתה,מ חובה_ _של_ _היא
1909_10,forms,ל ה מהנדסים,ל ה_ מהנדסים
1909_16,forms,ל הם,ל_ _הם
1910_11,forms,כוונתו,כוונה_ _של_ _הוא
1911_17,forms,ל ה אגודה,ל ה_ אגודה
1911_19,forms,הסכמתה,הסכמה_ _של_ _היא
1911_28,forms,ל ה ירקון,ל ה_ ירקון
1913_10,forms,ב ה משלחת,ב ה_ משלחת
1914_9,forms,אלי הוא,אל_ _הוא
1915_1,forms,ב מהלכו,ב מהלך_ _של_ _הוא
