1,"עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .","עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .",1
397,"שלא בפניו נידון ל ה_ מוות , אך ה דבר לא הפריע לו לחיות ב גלות נינוחה ב ספרד .","שלא ב פניו נידון ל ה מוות , אך ה דבר לא הפריע ל הוא לחיות ב גלות נינוחה ב ספרד .",397
398,"ב 8791 הכריז ב ראיון ענק ל ה_ שבועון "" לאקספרס "" , ש אמנם ב אושוויץ עסקו ה נאצים ב הגזה , אך לא ב הגזת בני - אדם , אלא ב הגזת כינים .","ב 8791 הכריז ב ראיון ענק ל ה שבועון "" לאקספרס "" , ש אמנם ב אושוויץ עסקו ה נאצים ב הגזה , אך לא ב הגזת בני - אדם , אלא ב הגזת כינים .",398
399,הוא מת לפני כמה שנים ב ספרד .,הוא מת לפני כמה שנים ב ספרד .,399
400,"הוא לא הטריד את ה ממסד ה צרפתי ב הצהרות מביכות , ו שלטונות צרפת לא טרחו ש יוסגר לידיהם ל צורך העמדתו ל דין .","הוא לא הטריד את ה ממסד ה צרפתי ב הצהרות מביכות , ו שלטונות צרפת לא טרחו ש יוסגר ל ידיהם ל צורך העמדתו ל דין .",400
401,"שתי פרשיות אחרות , נוסף על זו של רנה בוסקה , נמצאות אף הן כיום ב דיון משפטי מוקדם ש נמשך זמן רב : זו של מוריס פאפון ו זו של פול טובייה .","שתי פרשיות אחרות , נוסף על זו של רנה בוסקה , נמצאות אף הן כיום ב דיון משפטי מוקדם ש נמשך זמן רב : זו של מוריס פאפון ו זו של פול טובייה .",401
402,"פאפון , ש כאמור שימש ממונה על מחוז זירונד ב זמן ה מלחמה , הורה על ביצוע ה אקציות נגד ה יהודים ב יולי 2491 .","פאפון , ש כאמור שימש ממונה על מחוז זירונד ב זמן ה מלחמה , הורה על ביצוע ה אקציות נגד ה יהודים ב יולי 2491 .",402
403,"אחרי ה מלחמה , ב שנת 8591 , הוא היה ממונה על מחוז פאריס .","אחרי ה מלחמה , ב שנת 8591 , הוא היה ממונה על מחוז פאריס .",403
404,מאוחר יותר שימש שר ב ממשלת ריימון באר ב ימי נשיאותו של ואלרי זיסקאר - דאסטאן .,מאוחר יותר שימש שר ב ממשלת ריימון באר ב ימי נשיאותו של ואלרי זיסקאר - דאסטאן .,404
405,"ב 3891 , בעקבות חקירה מחודשת , נקבע כי יש מקום להגיש נגדו כתב אישום בגין סיוע למעצרם של יהודים כ דרישת ה גרמנים .","ב 3891 , בעקבות חקירה מחודשת , נקבע כי יש מקום להגיש נגד הוא כתב אישום בגין סיוע ל מעצרם של יהודים כ דרישת ה גרמנים .",405
406,ב 4891 הודיע לו שופט - חוקר כי הוגשו נגדו תלונות נוספות .,ב 4891 הודיע ל הוא שופט - חוקר כי הוגשו נגד הוא תלונות נוספות .,406
407,עד היום נמצאות תלונות הללו ב שלב מוקדם של דיון בפני שופט - חוקר .,עד היום נמצאות תלונות הללו ב שלב מוקדם של דיון בפני שופט - חוקר .,407
408,"בעקבות ה משפט נגד ראש ה גסטאפו ב לין , קלאוס ברבי , עלה מחדש שמו של פול טביה .","בעקבות ה משפט נגד ראש ה גסטאפו ב לין , קלאוס ברבי , עלה מחדש שמו של פול טביה .",408
409,"הוא היה מ מפקדי ה מיליציה ה צרפתית ה ידועה ל שמצה ב ליון , נטל חלק פעיל ב ה_ אקציות של ה גסטאפו נגד לוחמי מחתרת ו יהודים , עינה עצורים , שדד את רכושם , ו הורה על הוצאתם ל ה_ הורג של כמה מקורבנותיו בלי משפט .","הוא היה מ מפקדי ה מיליציה ה צרפתית ה ידועה ל שמצה ב ליון , נטל חלק פעיל ב ה אקציות של ה גסטאפו נגד לוחמי מחתרת ו יהודים , עינה עצורים , שדד את רכושם , ו הורה על הוצאתם ל ה הורג של כמה מ קורבנותיו בלי משפט .",409
410,אחרי ה שחרור נעלמו עקבותיו .,אחרי ה שחרור נעלמו עקבותיו .,410
411,בית משפט ב ליון דן אותו ל ה_ מוות שלא בפניו .,בית משפט ב ליון דן את הוא ל ה מוות שלא ב פניו .,411
412,"ב שנת 1972 גילה תחקיר עיתונאי ש ב נובמבר 1971 העניק לו ה נשיא זורז פומפידו חנינה , ו כי במשך כל ה שנים נהנה ה פושע מ חסות ראשי ה כנסייה ה קתולית ב צרפת ו ב איטליה .","ב שנת 1972 גילה תחקיר עיתונאי ש ב נובמבר 1971 העניק ל הוא ה נשיא זורז פומפידו חנינה , ו כי במשך כל ה שנים נהנה ה פושע מ חסות ראשי ה כנסייה ה קתולית ב צרפת ו ב איטליה .",412
413,"ב שנת 3891 נתחדשה ה חקירה נגד טובייה , אך הוא שוב נעלם .","ב שנת 3891 נתחדשה ה חקירה נגד טובייה , אך הוא שוב נעלם .",413
414,"ב ספטמבר 1984 פורסמה ב עיתון אזורי מודעה על מותו כביכול , ו אף נמצא "" מקום קבורתו "" .","ב ספטמבר 1984 פורסמה ב עיתון אזורי מודעה על מותו כביכול , ו אף נמצא "" מקום קבורתו "" .",414
415,אך עדיין מחפשים אחרי טובייה ה חי .,אך עדיין מחפשים אחרי טובייה ה חי .,415
416,אין פלא ש פרשת בוסקה הזכירה גם את פרשיות פאפון ו טובייה .,אין פלא ש פרשת בוסקה הזכירה גם את פרשיות פאפון ו טובייה .,416
417,"ב מסיבת עיתונאים ש נערכה ב ה_ 81 ב אוקטובר השנה ב פאריס דיבר נשיא ה ליגה ל זכויות ה אדם , עו""ד איב זפה , על "" חוסר ה רצון ה פוליטי להביא לידי בירור את שלוש ה פרשיות של בוסקה , פאפון ו טובייה "" .","ב מסיבת עיתונאים ש נערכה ב ה 81 ב אוקטובר השנה ב פאריס דיבר נשיא ה ליגה ל זכויות ה אדם , עו""ד איב זפה , על "" חוסר ה רצון ה פוליטי להביא לידי בירור את שלוש ה פרשיות של בוסקה , פאפון ו טובייה "" .",417
418,"הוא אמר : "" שלושה תיקים אלה נמצאים ב נקודה מתה .","הוא אמר : "" שלושה תיקים אלה נמצאים ב נקודה מתה .",418
419,אין זה מקרה ש שלושת ה אנשים הללו לא נשפטו עד כה .,אין זה מקרה ש שלושת ה אנשים הללו לא נשפטו עד כה .,419
420,"אישים אלה מילאו תפקידים רמים ו בעלי חשיבות ב ה_ פוליטיקה , ב ה_ מינהל ו ב עולם ה עסקים .","אישים אלה מילאו תפקידים רמים ו בעלי חשיבות ב ה פוליטיקה , ב ה מינהל ו ב עולם ה עסקים .",420
421,אני סבור ש הם נהנים מ הזדהות מעמדית אמיתית .,אני סבור ש הם נהנים מ הזדהות מעמדית אמיתית .,421
422,"לא תובעים ל דין שר או ממונה על ה משטרה , משום ש הוא שייך ל חוג של אנשים ש אינו רוצה ש יכבסו את ה כביסה ה מלוכלכת "" .","לא תובעים ל דין שר או ממונה על ה משטרה , משום ש הוא שייך ל חוג של אנשים ש אינו רוצה ש יכבסו את ה כביסה ה מלוכלכת "" .",422
423,ו מה בינתיים ?,ו מה בינתיים ?,423
424,"פאפון , טובייה ו בוסקה חופשיים .","פאפון , טובייה ו בוסקה חופשיים .",424
425,כל אחד מהם מתקרב ל גיל שמונים .,כל אחד מ המ מתקרב ל גיל שמונים .,425
426,ה רושם הוא ש ה ממסד ה צרפתי מצפה ש ימותו ב שקט .,ה רושם הוא ש ה ממסד ה צרפתי מצפה ש ימותו ב שקט .,426
427,"מה ש ברור , ש הוא אינו מעוניין בהעמדתם ל ה_ דין .","מה ש ברור , ש הוא אינו מעוניין ב העמדתם ל ה דין .",427
428,"הוא חושש מ חשיפת סודות ה חבויים ב כספות , מפני עדויות חדשות , ו מפני זכרונות ה עלולים לגלות שלדים ה חבויים שנים כה רבות ב ארונות שונים .","הוא חושש מ חשיפת סודות ה חבויים ב כספות , מפני עדויות חדשות , ו מפני זכרונות ה עלולים לגלות שלדים ה חבויים שנים כה רבות ב ארונות שונים .",428
429,"ארבע ו חצי שעות צעדו אתמול ב ירושלים עשרות אלפים אחרי ארונו של מאיר כהנא ב מסע הלווייה פרוע , רצוף קריאות הסתה ל פגיעות ב ערבים , ב עיתונאים ו ב שוטרים .","ארבע ו חצי שעות צעדו אתמול ב ירושלים עשרות אלפים אחרי ארונו של מאיר כהנא ב מסע הלווייה פרוע , רצוף קריאות הסתה ל פגיעות ב ערבים , ב עיתונאים ו ב שוטרים .",429
430,"ב שעה 1200 , כש החל ה קהל להתפזר , מנתה ה משטרה שלושה שוטרים פצועים , אחד מהם קשה , ו ארבעה ערבים עוברי - אורח ש נפצעו אף הם .","ב שעה 1200 , כש החל ה קהל להתפזר , מנתה ה משטרה שלושה שוטרים פצועים , אחד מ המ קשה , ו ארבעה ערבים עוברי - אורח ש נפצעו אף הם .",430
431,ב שעה 1400 עדיין נמצא קהל ה רבבות תחת שליטה ו בקרה .,ב שעה 1400 עדיין נמצא קהל ה רבבות תחת שליטה ו בקרה .,431
432,החל מ שעות ה צהרים התקבצו אלפים סביב ישיבת ה רעיון ה יהודי ב שכונת שמואל ה נביא .,החל מ שעות ה צהרים התקבצו אלפים סביב ישיבת ה רעיון ה יהודי ב שכונת שמואל ה נביא .,432
433,בני משפחת כהנא ישבו על מרפסת ה משקיפה על פתח ה ישיבה .,בני משפחת כהנא ישבו על מרפסת ה משקיפה על פתח ה ישיבה .,433
434,צלמי עיתונות רבים נדחקו על גג בטון סמוך .,צלמי עיתונות רבים נדחקו על גג בטון סמוך .,434
435,צוותי תקשורת אחרים הושמו מאחורי גדירות משטרה .,צוותי תקשורת אחרים הושמו מאחורי גדירות משטרה .,435
436,ב שעה 1500 הגיע ה ארון ל ה_ מקום .,ב שעה 1500 הגיע ה ארון ל ה מקום .,436
437,"מ ה רמקול בקע קולו של אחד מ תלמידי ה ישיבה , ש קרא פסוקי תהילים .","מ ה רמקול בקע קולו של אחד מ תלמידי ה ישיבה , ש קרא פסוקי תהילים .",437
438,ה ציבור חזר אחריו ב דבקות .,ה ציבור חזר אחרי הוא ב דבקות .,438
439,"קהל ה רבבות כלל כיפות סרוגות , חרדים , יהודים דתיים מ ארה""ב ו אנשי שכונות .","קהל ה רבבות כלל כיפות סרוגות , חרדים , יהודים דתיים מ ארה""ב ו אנשי שכונות .",439
440,אנשי ה חברה קדישא ביקשו להעביר את אלונקת ה נפטר מ ה רכב אל ה ישיבה .,אנשי ה חברה קדישא ביקשו להעביר את אלונקת ה נפטר מ ה רכב אל ה ישיבה .,440
441,"למעלה מ חצי שעה הם ניסו לעשות זאת , אך ללא הצלחה .","למעלה מ חצי שעה הם ניסו לעשות זאת , אך ללא הצלחה .",441
442,"בני ה משפחה , ה רבנים , ראשי כך ו אפילו ה רב ה ראשי ל ישראל , ה ראשון ל ציון ה רב מרדכי אליהו , התחננו ב פני ה קהל לפנות מעט דרך , אך לשווא .","בני ה משפחה , ה רבנים , ראשי כך ו אפילו ה רב ה ראשי ל ישראל , ה ראשון ל ציון ה רב מרדכי אליהו , התחננו ב פני ה קהל לפנות מעט דרך , אך לשווא .",442
443,"מאות צרו על רכב ה חברה קדישא , תוך ש הם דוחפים איש את רעהו ו משלחים קללות ו גידופים לעבר אנשי ה תקשורת ה רבים .","מאות צרו על רכב ה חברה קדישא , תוך ש הם דוחפים איש את רעהו ו משלחים קללות ו גידופים לעבר אנשי ה תקשורת ה רבים .",443
444,"ה שר יובל נאמן וסגניתו גאולה כהן , ש ביקשו להספיד את ה רב כהנא , גורשו מ ה מקום .","ה שר יובל נאמן ו סגניתו גאולה כהן , ש ביקשו להספיד את ה רב כהנא , גורשו מ ה מקום .",444
445,"ב ה_ קהל נראו חבר ה כנסת אליקים העצני , ה שר יצחק פרץ , ה ח""כ לשעבר מאיר כהן אבידוב , ד""ר ישראל אלדד ו דמויות רבות נוספות מ חוגי ה ימין .","ב ה קהל נראו חבר ה כנסת אליקים העצני , ה שר יצחק פרץ , ה ח""ך לשעבר מאיר כהן אבידוב , ד""ר ישראל אלדד ו דמויות רבות נוספות מ חוגי ה ימין .",445
446,ב 2115 ניסה רכב ה חברה קדישא לדחוף ב עדינות את ה צרים עליו .,ב 2115 ניסה רכב ה חברה קדישא לדחוף ב עדינות את ה צרים עלי הוא .,446
447,ה תוצאה : פצוע ש נדרס .,ה תוצאה : פצוע ש נדרס .,447
448,"ל קול צפירות ה אמבולנס ש מיהר עמו ל בית ה חולים , פתח ה רב ה ראשי את שורת ה הספדים .","ל קול צפירות ה אמבולנס ש מיהר עם הוא ל בית ה חולים , פתח ה רב ה ראשי את שורת ה הספדים .",448
449,"ה רב ה ראשי עמד על תכונותיו של כהנא : "" ה חסד שלו , ה צדקה שלו ו ראיית ה חיים שלו "" , ו אחר כך פונה ל ה_ קהל : "" ה קב""ה יקום דמו .","ה רב ה ראשי עמד על תכונותיו של כהנא : "" ה חסד של הוא , ה צדקה של הוא ו ראיית ה חיים של הוא "" , ו אחר כך פונה ל ה קהל : "" ה קב""ה יקום דמו .",449
450,לא להפריע ל כוחות ה ביטחון .,לא להפריע ל כוחות ה ביטחון .,450
451,"להשאיר את ה נקמה ל אלוקים "" .","להשאיר את ה נקמה ל אלוקים "" .",451
452,"ה רב נחמן כהנא , אחיו של מאיר כהנא , הזכיר ל ה_ ציבור תוך בכי , כי "" דמו של כהנא נשפך על רקע הר - ה בית .","ה רב נחמן כהנא , אחיו של מאיר כהנא , הזכיר ל ה ציבור תוך בכי , כי "" דמו של כהנא נשפך על רקע הר - ה בית .",452
453,ה דם ה זה רותח .,ה דם ה זה רותח .,453
454,"על ה דם ה זה אין כפרה "" .","על ה דם ה זה אין כפרה "" .",454
455,"רק בדבריו של ה רב אברהם טולדאנו , משגיח ב ישיבת ה רעיון ה יהודי ו מספר 4 ב רשימת כך ל ה_ כנסת , היו כבר הוראות מעשיות : "" אלוקים ייקום דמו ו אנו ניקום אותו .","רק ב דבריו של ה רב אברהם טולדאנו , משגיח ב ישיבת ה רעיון ה יהודי ו מספר 4 ב רשימת כך ל ה כנסת , היו כבר הוראות מעשיות : "" אלוקים ייקום דמו ו אנו ניקום את הוא .",455
456,אל נקמות ה .,אל נקמות ה .,456
457,עכשיו עת להרוג .,עכשיו עת להרוג .,457
458,זו ה עת להרוג רבותי .,זו ה עת להרוג רבותי .,458
459,"נצפה ל שלום , אך אינך יכול להגיע ל שלום , שלא דרך ה מלחמה .","נצפה ל שלום , אך אינך יכול להגיע ל שלום , שלא דרך ה מלחמה .",459
460,"עת ל טוב ו עת ל רע : אינך יכול להגיע ל ה_ טוב , אם אתה לא מבער את ה רע .","עת ל טוב ו עת ל רע : אינך יכול להגיע ל ה טוב , אם אתה לא מבער את ה רע .",460
461,זה ה רגע .,זה ה רגע .,461
462,"זה ה זמן לנקום נקמתו של כל יהודי "" .","זה ה זמן לנקום נקמתו של כל יהודי "" .",462
463,"דבריו של יקותיאל בן - יעקב , איש כך ה מקורב ביותר ל ה_ רב כהנא , הם ה מפורשים ביותר , ו הוא פנה אל רבו , כאילו עוד היה חי : "" ה רב כהנא רצחו אותך פעמיים .","דבריו של יקותיאל בן - יעקב , איש כך ה מקורב ביותר ל ה רב כהנא , הם ה מפורשים ביותר , ו הוא פנה אל רבו , כאילו עוד היה חי : "" ה רב כהנא רצחו את אתה פעמיים .",463
464,"כאן ב ה_ ארץ פסלו אותך ו ב ארה""ב רצחו אותך .","כאן ב ה ארץ פסלו את אתה ו ב ארה""ב רצחו את אתה .",464
465,ה תקשורת ה עויינת ממשיכה לרצוח אותך פעם שלישית .,ה תקשורת ה עויינת ממשיכה לרצוח את אתה פעם שלישית .,465
466,נבכה ו נפסיק לבכות ו נקיים את ה תורה ש לימדת אותנו נקמה .,נבכה ו נפסיק לבכות ו נקיים את ה תורה ש לימדת את אנחנו נקמה .,466
467,ניתן את רשות ה דיבור ל ה_ חבר תת - מקלע ל ה_ חבר סכין .,ניתן את רשות ה דיבור ל ה חבר תת - מקלע ל ה חבר סכין .,467
468,"שלום ה רב כהנא "" .","שלום ה רב כהנא "" .",468
469,אט אט התחיל ה המון לצעוד אל מ חוץ ל ה_ סמטאות לעבר ה כביש ה ראשי .,אט אט התחיל ה המון לצעוד אל מ חוץ ל ה סמטאות לעבר ה כביש ה ראשי .,469
470,"תחילה ב שקט ו אחר כך תוך קריאות גוברות ו הולכות : "" מוות ל ה_ ערבים "" , "" מוות ל ה_ שמאלנים "" , "" רוצים נקמה "" .","תחילה ב שקט ו אחר כך תוך קריאות גוברות ו הולכות : "" מוות ל ה ערבים "" , "" מוות ל ה שמאלנים "" , "" רוצים נקמה "" .",470
471,ה קהל ה זה היה צמא ל דם ו הוא חיפש ערבים .,ה קהל ה זה היה צמא ל דם ו הוא חיפש ערבים .,471
472,מדי פעם ב פעם פרצה קבוצה של כמה מאות הצידה כאשר נדמה היה ש גילתה ערבי .,מדי פעם ב פעם פרצה קבוצה של כמה מאות הצידה כאשר נדמה היה ש גילתה ערבי .,472
473,אבל ה אכזבה רבה .,אבל ה אכזבה רבה .,473
474,בעלי מפעלים רבים על נתיב ה הלווייה נעלו את פועליהם מאחורי סוגר ו בריח .,בעלי מפעלים רבים על נתיב ה הלווייה נעלו את פועליהם מאחורי סוגר ו בריח .,474
475,אחדים מהם עשו שטות ו הציצו מבעד ל ה_ חלונות ; בתוך דקות נופצו שמשות .,אחדים מ המ עשו שטות ו הציצו מבעד ל ה חלונות ; בתוך דקות נופצו שמשות .,475
476,מאחור צרו מאות על בניין ה טלוויזיה .,מאחור צרו מאות על בניין ה טלוויזיה .,476
477,פרשי משטרה דחקו אותם לאחור .,פרשי משטרה דחקו את המ לאחור .,477
478,שוטר נפגע מ אבן בראשו .,שוטר נפגע מ אבן ב ראשו .,478
479,"קבוצה אחרת של מפגינים פרצה ל ה_ מרכז ה מסחרי סנטר 1 , ליד ה תחנה ה מרכזית .","קבוצה אחרת של מפגינים פרצה ל ה מרכז ה מסחרי סנטר 1 , ליד ה תחנה ה מרכזית .",479
480,יושבי בתי ה קפה נבעתו .,יושבי בתי ה קפה נבעתו .,480
481,אם עם תינוקתה פרצה ב זעקות .,אם עם תינוקתה פרצה ב זעקות .,481
482,מיד אחר כך נופצו חלונות ראווה של חנויות ב ה_ מרכז .,מיד אחר כך נופצו חלונות ראווה של חנויות ב ה מרכז .,482
483,ה שוטרים הגיעו רק אחרי כמה דקות .,ה שוטרים הגיעו רק אחרי כמה דקות .,483
484,מול בית מספר 3 ב רחוב גבעת שאול אני עד ל ה_ אירוע ה חמור ביותר .,מול בית מספר 3 ב רחוב גבעת שאול אני עד ל ה אירוע ה חמור ביותר .,484
485,ה קהל איתר סוף סוף ערבי ו יהודים חבטו בו עד זוב דם .,ה קהל איתר סוף סוף ערבי ו יהודים חבטו ב הוא עד זוב דם .,485
486,"אנשי מג""ב חשו אל ה פצוע ו הגישו לו עזרה ראשונה .","אנשי מג""ב חשו אל ה פצוע ו הגישו ל הוא עזרה ראשונה .",486
487,ה אמבולנס התקרב אך בקושי ו גם כאשר נסגרו ה דלתות היכו עשרות ב ה_ ידיים ו ב ה_ רגליים על פח ה רכב .,ה אמבולנס התקרב אך בקושי ו גם כאשר נסגרו ה דלתות היכו עשרות ב ה ידיים ו ב ה רגליים על פח ה רכב .,487
488,"שוטר ו חייל אחזו ב דלתות ה אמבולנס , כשפניהם אל ה מתפרעים , כדי לסוכך על ה פצוע ה ערבי .","שוטר ו חייל אחזו ב דלתות ה אמבולנס , כש פניהם אל ה מתפרעים , כדי לסוכך על ה פצוע ה ערבי .",488
489,"כאשר התחיל ה אמבולנס לנסוע , איבד ה שוטר את שיווי ה משקל , מעד ו נחת כשעורפו ל ה_ קרקע .","כאשר התחיל ה אמבולנס לנסוע , איבד ה שוטר את שיווי ה משקל , מעד ו נחת כש עורפו ל ה קרקע .",489
490,הוא איבד את הכרתו .,הוא איבד את הכרתו .,490
491,הפעם ה קהל לא חסם את ה אמבולנס .,הפעם ה קהל לא חסם את ה אמבולנס .,491
492,ב ה_ רחבה ש לפני בית ה עלמין ש על הר ה מנוחות נרגם ב אבנים ה רכב של קול ישראל .,ב ה רחבה ש לפני בית ה עלמין ש על הר ה מנוחות נרגם ב אבנים ה רכב של קול ישראל .,492
493,"טירן פולק , מנכ""ל כך , אחז בידו רמקול ו ביקש מ ה קהל שלא לפגוע ב ה_ יהודים .","טירן פולק , מנכ""ל כך , אחז ב ידו רמקול ו ביקש מ ה קהל שלא לפגוע ב ה יהודים .",493
494,מ ה קהל נשמעו קריאות : אחרי ה הלווייה נלך לשחרר את הר ה בית .,מ ה קהל נשמעו קריאות : אחרי ה הלווייה נלך לשחרר את הר ה בית .,494
495,כולנו כ איש אחד .,כולנו כ איש אחד .,495
496,"מוות ל ה_ ערבים , מוות ל ה_ שמאלנים , מוות ל יוסי שריד .","מוות ל ה ערבים , מוות ל ה שמאלנים , מוות ל יוסי שריד .",496
497,קשה להוציא את ה ארון מ מכונית ה חברה קדישא ו רק תוך דחיפות ו צעקות הורדה גופתו של מאיר כהנא אל ה קבר .,קשה להוציא את ה ארון מ מכונית ה חברה קדישא ו רק תוך דחיפות ו צעקות הורדה גופתו של מאיר כהנא אל ה קבר .,497
498,"עכשיו קוראים את ה קדיש , ו ה קהל עונה אמן .","עכשיו קוראים את ה קדיש , ו ה קהל עונה אמן .",498
499,תם מסע ה הלווייה .,תם מסע ה הלווייה .,499
500,מתחיל מסע ה נקמה .,מתחיל מסע ה נקמה .,500
501,""" תהיה נקמה ו בגדול .",""" תהיה נקמה ו בגדול .",501
502,"גם יהודים נמצאים עתה על ה כוונת "" אמרו אנשי כך ב עת מסע ה הלווייה .","גם יהודים נמצאים עתה על ה כוונת "" אמרו אנשי כך ב עת מסע ה הלווייה .",502
503,איש לא ניסה להסתיר זאת .,איש לא ניסה להסתיר זאת .,503
504,"לא ה מנהיגים ש הסיתו ל רצח ; לא חלקים ב ה_ ציבור ה זה , ש ל אורך ציר ה הלווייה רקמו תוכניות כיצד לפגוע ב ערבים כבר ב ה_ ימים ה קרובים .","לא ה מנהיגים ש הסיתו ל רצח ; לא חלקים ב ה ציבור ה זה , ש ל אורך ציר ה הלווייה רקמו תוכניות כיצד לפגוע ב ערבים כבר ב ה ימים ה קרובים .",504
505,"סופר "" ה ארץ "" ב ה_ צפון , מוסיף : יריות נשמעו אתמול ב שעה 2000 ב ה_ ערב ב שפרעם , סמוך לביתו של ראש ה עירייה , איברהים נימר חוסיין .","סופר "" ה ארץ "" ב ה צפון , מוסיף : יריות נשמעו אתמול ב שעה 2000 ב ה ערב ב שפרעם , סמוך ל ביתו של ראש ה עירייה , איברהים נימר חוסיין .",505
506,איש לא נפגע .,איש לא נפגע .,506
507,"כוחות משטרה גדולים , ב ראשות מפקד מרחב ה גליל , תת - ניצב רמי רהב , פתחו ב חקירה ו ב סריקות נרחבות ב ה_ עיר .","כוחות משטרה גדולים , ב ראשות מפקד מרחב ה גליל , תת - ניצב רמי רהב , פתחו ב חקירה ו ב סריקות נרחבות ב ה עיר .",507
508,"ב ה_ יציאות מ שפרעם הוצבו מחסומים , לאחר ש תושבים סיפרו כי הבחינו ב מכונית אדומה מ סוג "" סובארו "" , נושאת לוחיות זיהוי ישראליות , ש נראתה נמלטת מ ה מקום .","ב ה יציאות מ שפרעם הוצבו מחסומים , לאחר ש תושבים סיפרו כי הבחינו ב מכונית אדומה מ סוג "" סובארו "" , נושאת לוחיות זיהוי ישראליות , ש נראתה נמלטת מ ה מקום .",508
509,"נימר חוסיין , ה משמש גם כ ראש ועד ראשי ה רשויות ה ערביות ב ישראל , אמר כי ה יריות נורו לעבר ביתו ו כי לאחר רצח מאיר כהנא הזהירה אותו ה משטרה כי קיים חשש ש קיצונים יהודים ינסו לפגוע ב בעלי תפקידים בכירים ב ה_ מגזר ה ערבי .","נימר חוסיין , ה משמש גם כ ראש ועד ראשי ה רשויות ה ערביות ב ישראל , אמר כי ה יריות נורו לעבר ביתו ו כי לאחר רצח מאיר כהנא הזהירה את הוא ה משטרה כי קיים חשש ש קיצונים יהודים ינסו לפגוע ב בעלי תפקידים בכירים ב ה מגזר ה ערבי .",509
510,"ה משטרה הזהירה אתמול חברי - כנסת ערבים ו בעלי תפקידים בכירים ב ה_ מגזר ה ערבי , ה מתגוררים ב צפון ה ארץ , כי קיים חשש ל ניסיונות פגיעה בהם .","ה משטרה הזהירה אתמול חברי - כנסת ערבים ו בעלי תפקידים בכירים ב ה מגזר ה ערבי , ה מתגוררים ב צפון ה ארץ , כי קיים חשש ל ניסיונות פגיעה ב הם .",510
511,הם התבקשו לדווח ל ה_ משטרה על תנועותיהם .,הם התבקשו לדווח ל ה משטרה על תנועותיהם .,511
512,"אדם נהרג , אדם נרצח בידי רעולי פנים ו אחר נדקר על ידם , 803 נפצעו , לפי מקורות פלשתיניים , ו כן נפצעו שישה חיילי צה""ל ו תיירת אחת ב אירועי ה שבוע ב ה_ שטחים .","אדם נהרג , אדם נרצח בידי רעולי פנים ו אחר נדקר על ידם , 803 נפצעו , לפי מקורות פלשתיניים , ו כן נפצעו שישה חיילי צה""ל ו תיירת אחת ב אירועי ה שבוע ב ה שטחים .",512
513,"חמישה חיילי צה""ל נפצעו ב אורח קל ב תקריות קשות ש היו ב סוף ה שבוע ב רצועת עזה .","חמישה חיילי צה""ל נפצעו ב אורח קל ב תקריות קשות ש היו ב סוף ה שבוע ב רצועת עזה .",513
514,הם הועברו ל בית ה חולים ברזילי ב אשקלון .,הם הועברו ל בית ה חולים ברזילי ב אשקלון .,514
515,"ב תקריות קשות ש היו ב ה_ רצועה אתמול ו שלשום נהרג מחמוד עיזאת אל בסיוני , בן 92 , תושב בית חנון .","ב תקריות קשות ש היו ב ה רצועה אתמול ו שלשום נהרג מחמוד עיזאת אל בסיוני , בן 92 , תושב בית חנון .",515
516,"שניים נפצעו ב אורח קשה ו 261 נפצעו , לפי מקורות פלשתיניים : 88 מהם מ ירי כדורים חיים , כדורי גומי ו פלסטיק .","שניים נפצעו ב אורח קשה ו 261 נפצעו , לפי מקורות פלשתיניים : 88 מ הם מ ירי כדורים חיים , כדורי גומי ו פלסטיק .",516
517,"ה שאר נפצעו מ גז , בהם ילדים רבים ב גיל 01 ו 21 ו ארבע נשים ב הריון .","ה שאר נפצעו מ גז , ב הם ילדים רבים ב גיל 01 ו 21 ו ארבע נשים ב הריון .",517
518,"נציג דובר צה""ל ב פיקוד דרום סירב לפרט ב אילו כדורים נפצעו ה תושבים .","נציג דובר צה""ל ב פיקוד דרום סירב לפרט ב אילו כדורים נפצעו ה תושבים .",518
519,מקורות צבאיים ב פיקוד דרום אמרו כי 78 תושבים נפצעו ו 05 שוחררו לבתיהם .,מקורות צבאיים ב פיקוד דרום אמרו כי 78 תושבים נפצעו ו 05 שוחררו ל בתיהם .,519
520,ה עוצר ש הוטל אתמול ב ה_ עיירה בית חנון ו ב מקומות מרכזיים ב ה_ רצועה יימשך היום .,ה עוצר ש הוטל אתמול ב ה עיירה בית חנון ו ב מקומות מרכזיים ב ה רצועה יימשך היום .,520
521,גורם צבאי בכיר אמר כי ה צבא הופתע מ ה התפרצות ה ספונטאנית .,גורם צבאי בכיר אמר כי ה צבא הופתע מ ה התפרצות ה ספונטאנית .,521
522,"ה התנגשויות החלו מיד לאחר ש נודע דבר התאבדותו של פעיל מרכזי ב אש""ף , ש היה עצור ב אגף ה חקירות ב כלא עזה .","ה התנגשויות החלו מיד לאחר ש נודע דבר התאבדותו של פעיל מרכזי ב אש""ף , ש היה עצור ב אגף ה חקירות ב כלא עזה .",522
523,כרוז ש הופץ קרא ל יום הסלמה ב ה_ שטחים .,כרוז ש הופץ קרא ל יום הסלמה ב ה שטחים .,523
